,지역본부,재산 소재지,노선명, 면적(공부) ,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category
2359,수도권본부,경기도 남양주시 와부읍 도곡리 1057ㅡ8,중앙선,43.0,활용,미사용,미사용,계획없음
2360,수도권본부,경기도 남양주시 와부읍 도곡리 1057ㅡ9,중앙선,128.0,활용,미사용,미사용,계획없음
2362,수도권본부,경기도 남양주시 와부읍 도곡리 1063ㅡ2,중앙선,493.0,활용,미사용,미사용,계획없음
2363,수도권본부,경기도 남양주시 와부읍 도곡리 1096ㅡ6,중앙선,714.0,활용,미사용,미사용,계획없음
2364,수도권본부,경기도 남양주시 와부읍 도곡리 1100ㅡ1,중앙선,33.0,활용,미사용,미사용,계획없음
2366,수도권본부,경기도 남양주시 와부읍 도곡리 474ㅡ2,중앙선,449.0,활용,미사용,미사용,계획없음
2368,수도권본부,경기도 남양주시 와부읍 도곡리 480ㅡ5,중앙선,69.0,활용,미사용,미사용,계획없음
2370,수도권본부,경기도 남양주시 와부읍 도곡리 485ㅡ10,중앙선,411.0,활용,미사용,미사용,계획없음
2371,수도권본부,경기도 남양주시 와부읍 도곡리 485ㅡ15,중앙선,10.0,활용,미사용,미사용,계획없음
2372,수도권본부,경기도 남양주시 와부읍 도곡리 491ㅡ1,중앙선,102.0,활용,미사용,미사용,계획없음
2373,수도권본부,경기도 남양주시 와부읍 도곡리 494ㅡ1,중앙선,145.0,활용,미사용,미사용,계획없음
